Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State
OD24,Alan,Fruits & Veggies,Organic Vegetables,Pune University,7/16/2024,East,969,0.29,77.52,Maharashtra
OD25,Sharon,"Eggs, Meat & Fish",Eggs,Sholapur,9/25/2022,West,1100,0.11,495,Maharashtra
OD26,Krithika,Snacks,Chocolates,Viman Nagar,1/16/2023,West,2022,0.11,202.2,Maharashtra
OD27,Muneer,Snacks,Cookies,Pune Cantonment,1/16/2023,West,541,0.12,43.28,Maharashtra
OD28,Jackson,Bakery,Biscuits,Bibwewadi,9/17/2022,East,979,0.22,401.39,Maharashtra
OD29,Veronica,Beverages,Soft Drinks,Pimpri-Chinchwad,9/17/2022,East,1988,0.22,874.72,Maharashtra
OD30,Shah,Oil & Masala,Masalas,Baner,9/17/2022,East,989,0.17,69.23,Maharashtra
OD31,Ramesh,Beverages,Soft Drinks,Kothrud,9/17/2022,East,1845,0.24,166.05,Maharashtra
OD32,Mathew,Snacks,Noodles,Pune,9/17/2022,East,1400,0.11,420,Maharashtra
OD33,Akash,Oil & Masala,Edible Oil & Ghee,Pune Cantonment,9/17/2022,East,2163,0.26,670.53,Maharashtra
OD34,Anu,Oil & Masala,Masalas,Mulshi,9/17/2022,East,1689,0.34,337.8,Maharashtra
OD35,Anu,Beverages,Health Drinks,Pune,10/19/2024,Central,809,0.32,80.9,Maharashtra
OD36,Sabeela,"Eggs, Meat & Fish",Eggs,Viman Nagar,12-08-2023,Central,1265,0.22,569.25,Maharashtra
OD37,James,Beverages,Soft Drinks,Narhe,12-08-2023,Central,934,0.35,56.04,Maharashtra
OD38,Willams,Fruits & Veggies,Organic Vegetables,Koregaon Park,12/27/2022,Central,1354,0.16,446.82,Maharashtra
OD39,Jonas,Fruits & Veggies,Fresh Fruits,Wagholi,12/27/2022,Central,1751,0.19,280.16,Maharashtra
OD40,Sabeela,"Eggs, Meat & Fish",Chicken,Bhosari,12/27/2022,Central,2045,0.23,879.35,Maharashtra
OD41,Malik,Beverages,Health Drinks,Camp,12/27/2022,Central,660,0.19,92.4,Maharashtra
OD42,Arutra,Beverages,Soft Drinks,Narhe,09-10-2024,Central,1868,0.18,616.44,Maharashtra
OD43,Sharon,Snacks,Cookies,Hinjawadi,7/17/2023,West,1017,0.25,345.78,Maharashtra
OD44,Mathew,Snacks,Cookies,Kothrud,9/19/2024,South,2311,0.2,1039.95,Maharashtra
OD45,Amrish,Bakery,Biscuits,Pimpri-Chinchwad,03-11-2023,Central,1663,0.17,731.72,Maharashtra
OD46,Vince,"Eggs, Meat & Fish",Eggs,Mulshi,03-11-2023,Central,1420,0.19,355,Maharashtra
OD47,Suresh,Fruits & Veggies,Organic Vegetables,Dehu Road,10/20/2021,Central,1415,0.31,509.4,Maharashtra
OD48,Mathew,Snacks,Noodles,Wagholi,6/20/2023,East,1488,0.3,610.08,Maharashtra
OD49,Ridhesh,Snacks,Noodles,Mundhwa,6/20/2023,East,726,0.18,43.56,Maharashtra
OD50,Amrish,Bakery,Cakes,Sholapur,4/18/2022,Central,1259,0.15,415.47,Maharashtra
OD51,Esther,Beverages,Soft Drinks,Narhe,4/18/2022,Central,902,0.29,153.34,Maharashtra
OD52,Shah,Beverages,Soft Drinks,Narhe,4/18/2022,Central,2306,0.3,553.44,Maharashtra
OD53,Sudha,Bakery,Cakes,Dhanori,4/18/2022,Central,1417,0.19,99.19,Maharashtra
OD54,Yusuf,Fruits & Veggies,Fresh Vegetables,Mulshi,12-11-2023,East,627,0.33,181.83,Maharashtra
OD55,Esther,Fruits & Veggies,Organic Fruits,Dehu Road,12-11-2023,East,760,0.28,60.8,Maharashtra
OD56,Muneer,Food Grains,Atta & Flour,Narhe,6/17/2023,East,2350,0.15,611,Maharashtra
OD57,Komal,"Eggs, Meat & Fish",Fish,Pimpri-Chinchwad,6/17/2023,East,1179,0.34,271.17,Maharashtra
OD58,Veena,Food Grains,Dals & Pulses,Pune Cantonment,6/17/2023,East,1624,0.35,194.88,Maharashtra
OD59,Sharon,"Eggs, Meat & Fish",Mutton,Pune Cantonment,6/17/2023,East,1316,0.35,421.12,Maharashtra
OD60,Shree,Beverages,Health Drinks,Rajgurunagar,6/17/2023,East,2121,0.12,678.72,Maharashtra
OD61,Roshan,Oil & Masala,Masalas,Lonikand,6/17/2023,East,1428,0.28,271.32,Maharashtra
OD62,Willams,Snacks,Noodles,Hadapsar,6/17/2023,East,706,0.33,289.46,Maharashtra
OD63,Sudeep,"Eggs, Meat & Fish",Fish,Kothrud,11/24/2022,West,921,0.25,184.2,Maharashtra
OD64,Yusuf,Fruits & Veggies,Fresh Fruits,Pune Cantonment,11/24/2022,West,1741,0.31,661.58,Maharashtra
OD65,Willams,"Eggs, Meat & Fish",Eggs,Mulshi,11/24/2022,West,607,0.22,200.31,Maharashtra
OD66,Muneer,"Eggs, Meat & Fish",Mutton,Viman Nagar,11/24/2022,West,1824,0.25,766.08,Maharashtra
OD67,Vinne,Food Grains,Atta & Flour,Mulshi,4/30/2022,Central,1368,0.11,383.04,Maharashtra
OD68,Roshan,Fruits & Veggies,Fresh Vegetables,Mundhwa,12-05-2021,West,1160,0.16,510.4,Maharashtra
OD69,Ramesh,Food Grains,Atta & Flour,Bibwewadi,12-05-2021,West,1294,0.23,77.64,Maharashtra
OD70,Peer,Oil & Masala,Masalas,Sholapur,06-04-2023,South,1232,0.14,554.4,Maharashtra
OD71,Verma,"Eggs, Meat & Fish",Mutton,Baner,9/18/2023,East,994,0.31,357.84,Maharashtra
OD72,Yusuf,Snacks,Noodles,Baner,9/14/2024,Central,2468,0.18,1011.88,Maharashtra
OD73,Alan,Snacks,Cookies,Dhanori,4/26/2022,South,721,0.27,100.94,Maharashtra
OD74,Vidya,Fruits & Veggies,Organic Vegetables,Pune,4/26/2022,South,2375,0.21,475,Maharashtra
OD75,Arvind,Beverages,Soft Drinks,Pune,4/26/2022,South,1965,0.13,117.9,Maharashtra
OD76,Veronica,Beverages,Soft Drinks,Hinjawadi,12-09-2024,Central,1489,0.12,193.57,Maharashtra
OD77,Arvind,Fruits & Veggies,Organic Fruits,Sholapur,12-09-2024,Central,1250,0.27,75,Maharashtra
OD78,Anu,Snacks,Noodles,Rajgurunagar,12-09-2024,Central,1358,0.31,488.88,Maharashtra
OD79,Haseena,Snacks,Cookies,Pune,11/26/2021,Central,719,0.2,64.71,Maharashtra
OD80,Veena,Fruits & Veggies,Organic Fruits,Wagholi,06-12-2023,South,2303,0.26,621.81,Maharashtra
OD81,Kumar,Beverages,Health Drinks,Baner,06-12-2023,South,2027,0.34,912.15,Maharashtra
OD82,Amy,Food Grains,Atta & Flour,Hinjawadi,10-12-2021,West,1739,0.29,765.16,Maharashtra
OD83,Komal,Oil & Masala,Spices,Bhosari,10-12-2021,West,990,0.26,227.7,Maharashtra
OD84,Ravi,Beverages,Soft Drinks,Kothrud,09-03-2022,South,2354,0.11,682.66,Maharashtra
OD85,Amy,Fruits & Veggies,Organic Fruits,Hinjawadi,11/13/2024,Central,1044,0.1,344.52,Maharashtra
OD86,Willams,Oil & Masala,Spices,Aundh,5/28/2024,South,2129,0.25,659.99,Maharashtra
OD87,Sharon,Food Grains,Rice,Dhanori,10/26/2024,Central,1759,0.1,615.65,Maharashtra
OD88,Ramesh,"Eggs, Meat & Fish",Eggs,Bibwewadi,10/26/2024,Central,1663,0.26,665.2,Maharashtra
OD89,Sheeba,Bakery,Breads & Buns,Hadapsar,04-05-2023,Central,2111,0.21,189.99,Maharashtra
OD90,Krithika,Food Grains,Dals & Pulses,Mulshi,9/17/2023,West,1878,0.12,450.72,Maharashtra
OD91,Willams,"Eggs, Meat & Fish",Chicken,Sholapur,9/17/2023,West,769,0.34,46.14,Maharashtra
OD92,Roshan,Beverages,Health Drinks,Lonikand,9/17/2023,West,1241,0.14,409.53,Maharashtra
OD93,Ravi,Food Grains,Atta & Flour,Mulshi,1/31/2022,Central,2128,0.14,383.04,Maharashtra
OD94,Ram,Fruits & Veggies,Fresh Fruits,Camp,1/31/2022,Central,2257,0.33,270.84,Maharashtra
OD95,Mathew,Snacks,Chocolates,Hinjawadi,1/31/2022,Central,1285,0.28,218.45,Maharashtra
OD96,Veena,"Eggs, Meat & Fish",Fish,Lonikand,11-06-2024,West,1230,0.13,442.8,Maharashtra
OD97,Sudha,Food Grains,Atta & Flour,Sholapur,11-09-2024,East,1856,0.21,723.84,Maharashtra
OD98,Sharon,Fruits & Veggies,Fresh Fruits,Pune Cantonment,6/17/2024,West,545,0.31,125.35,Maharashtra
OD99,Vince,Snacks,Chocolates,Kothrud,09-06-2023,Central,2301,0.28,391.17,Maharashtra
OD100,Krithika,Oil & Masala,Spices,Wagholi,8/29/2023,Central,1475,0.26,531,Maharashtra
OD101,Adavan,Bakery,Cakes,Rajgurunagar,8/29/2023,Central,2118,0.35,910.74,Maharashtra
OD102,Roshan,Beverages,Soft Drinks,Rajgurunagar,8/29/2023,Central,1527,0.17,671.88,Maharashtra
OD103,Vinne,Snacks,Chocolates,Dehu Road,12-01-2023,Central,567,0.18,175.77,Maharashtra
OD104,Amy,Fruits & Veggies,Fresh Fruits,Koregaon Park,11/13/2022,West,969,0.27,184.11,Maharashtra
OD105,Suresh,Food Grains,Dals & Pulses,Bavdhan,11/13/2022,West,2300,0.14,1035,Maharashtra
OD106,Komal,Oil & Masala,Masalas,Baner,11/13/2022,West,1575,0.33,78.75,Maharashtra
OD107,Sundar,Beverages,Health Drinks,Bhosari,11/23/2024,South,540,0.12,108,Maharashtra
OD108,Willams,Snacks,Cookies,Viman Nagar,11/23/2024,South,536,0.34,176.88,Maharashtra
OD109,Vidya,"Eggs, Meat & Fish",Eggs,Viman Nagar,11/23/2024,South,556,0.21,155.68,Maharashtra
OD110,Shree,Fruits & Veggies,Fresh Fruits,Rajgurunagar,10/15/2022,Central,1179,0.16,271.17,Maharashtra
OD111,Sundar,Food Grains,Dals & Pulses,Camp,12/25/2024,East,1487,0.12,505.58,Maharashtra
OD112,Arvind,Bakery,Breads & Buns,Mundhwa,11-03-2023,Central,2220,0.1,111,Maharashtra
OD113,Ravi,Oil & Masala,Edible Oil & Ghee,Aundh,11-03-2023,Central,2155,0.3,581.85,Maharashtra
OD114,Vinne,Fruits & Veggies,Fresh Vegetables,Pimpri-Chinchwad,8/25/2021,East,1154,0.1,69.24,Maharashtra
OD115,Muneer,Snacks,Noodles,Narhe,8/25/2021,East,2420,0.11,242,Maharashtra
OD116,Rumaiza,Snacks,Chocolates,Bavdhan,8/25/2021,East,1305,0.24,287.1,Maharashtra
OD117,Hussain,Fruits & Veggies,Organic Fruits,Hinjawadi,8/25/2021,East,927,0.2,157.59,Maharashtra
OD118,Arvind,Fruits & Veggies,Organic Vegetables,Bibwewadi,03-02-2022,West,983,0.11,186.77,Maharashtra
OD119,Akash,Food Grains,Rice,Wagholi,04-05-2022,South,903,0.1,90.3,Maharashtra
OD120,Ganesh,"Eggs, Meat & Fish",Chicken,Bhosari,06-12-2023,East,1235,0.12,74.1,Maharashtra
OD121,Alan,Fruits & Veggies,Organic Vegetables,Viman Nagar,06-12-2023,East,1243,0.24,174.02,Maharashtra
OD122,Harish,Bakery,Cakes,Pimpri-Chinchwad,06-12-2023,East,649,0.34,201.19,Maharashtra
OD123,Veronica,"Eggs, Meat & Fish",Mutton,Pune University,06-12-2023,East,2354,0.11,188.32,Maharashtra
OD124,Anu,Beverages,Soft Drinks,Bhosari,06-12-2023,East,1443,0.27,187.59,Maharashtra
OD125,Sudeep,Bakery,Breads & Buns,Mulshi,12/26/2021,Central,975,0.26,390,Maharashtra
OD126,Yusuf,Fruits & Veggies,Organic Vegetables,Lonikand,9/20/2021,Central,889,0.19,71.12,Maharashtra
OD127,Shah,"Eggs, Meat & Fish",Mutton,Bavdhan,11-05-2024,West,2352,0.17,870.24,Maharashtra
OD128,Harish,Oil & Masala,Spices,Viman Nagar,11-05-2024,West,1293,0.23,336.18,Maharashtra
OD129,Sharon,Food Grains,Rice,Hinjawadi,11-06-2023,West,1458,0.29,597.78,Maharashtra
OD130,Peer,Food Grains,Atta & Flour,Rajgurunagar,11-06-2023,West,1801,0.22,126.07,Maharashtra
OD131,Haseena,Snacks,Chocolates,Pune University,02-02-2024,East,1261,0.29,416.13,Maharashtra
OD132,Sundar,Beverages,Soft Drinks,Dehu Road,02-02-2024,East,2112,0.28,105.6,Maharashtra
OD133,Ram,"Eggs, Meat & Fish",Fish,Koregaon Park,02-02-2024,East,640,0.24,140.8,Maharashtra
OD134,Shah,Bakery,Cakes,Pune University,10/13/2023,West,1658,0.12,315.02,Maharashtra
OD135,Harish,Beverages,Health Drinks,Koregaon Park,10/13/2023,West,2373,0.18,664.44,Maharashtra
OD136,Veena,Fruits & Veggies,Organic Fruits,Bhosari,10/13/2023,West,1430,0.19,514.8,Maharashtra
OD137,Sundar,Oil & Masala,Spices,Bibwewadi,10/13/2023,West,1873,0.3,674.28,Maharashtra
OD138,Jackson,"Eggs, Meat & Fish",Eggs,Dhanori,10/13/2023,West,867,0.14,329.46,Maharashtra
OD139,Malik,Snacks,Noodles,Dhanori,10/13/2023,West,1101,0.19,484.44,Maharashtra
OD140,Hussain,"Eggs, Meat & Fish",Mutton,Sholapur,10/13/2023,West,1088,0.28,424.32,Maharashtra
OD141,Veena,Bakery,Biscuits,Hadapsar,09-05-2023,East,866,0.32,381.04,Maharashtra
OD142,Aditi,Oil & Masala,Masalas,Viman Nagar,9/18/2024,West,2483,0.14,223.47,Maharashtra
OD143,Surya,Food Grains,Atta & Flour,Baner,9/18/2024,West,1335,0.11,293.7,Maharashtra
OD144,Sharon,"Eggs, Meat & Fish",Fish,Pune University,9/18/2024,West,765,0.24,252.45,Maharashtra
OD145,Vinne,"Eggs, Meat & Fish",Mutton,Pune University,12/22/2024,Central,2403,0.2,624.78,Maharashtra
OD146,Malik,Oil & Masala,Edible Oil & Ghee,Rajgurunagar,09-07-2022,West,1551,0.13,573.87,Maharashtra
OD147,Ridhesh,Food Grains,Organic Staples,Dhanori,10/22/2021,East,1564,0.27,187.68,Maharashtra
OD148,Harish,Fruits & Veggies,Fresh Vegetables,Viman Nagar,12-05-2023,Central,1125,0.33,292.5,Maharashtra
OD149,Veronica,Beverages,Health Drinks,Pune University,12-05-2023,Central,768,0.1,184.32,Maharashtra
OD150,Ravi,"Eggs, Meat & Fish",Fish,Pune,12-05-2023,Central,1985,0.26,734.45,Maharashtra
OD151,Muneer,Food Grains,Rice,Hinjawadi,12-05-2023,Central,2287,0.13,1029.15,Maharashtra
OD152,Jackson,Snacks,Chocolates,Mundhwa,3/13/2023,West,1016,0.34,335.28,Maharashtra
OD153,Amy,Snacks,Cookies,Camp,3/13/2023,West,852,0.26,76.68,Maharashtra
OD154,Ram,Food Grains,Organic Staples,Koregaon Park,5/31/2022,West,1233,0.28,234.27,Maharashtra
OD155,Jonas,Snacks,Noodles,Mundhwa,5/31/2022,West,2236,0.14,626.08,Maharashtra
OD156,Ramesh,Fruits & Veggies,Fresh Vegetables,Bibwewadi,5/31/2022,West,2188,0.32,809.56,Maharashtra
OD157,Peer,Snacks,Cookies,Rajgurunagar,5/28/2022,West,1114,0.2,456.74,Maharashtra
OD158,Komal,Oil & Masala,Edible Oil & Ghee,Narhe,03-01-2021,West,1774,0.15,620.9,Maharashtra
OD159,Amy,Beverages,Soft Drinks,Bavdhan,11/20/2023,Central,2364,0.21,1040.16,Maharashtra
OD160,Amrish,Food Grains,Dals & Pulses,Mulshi,11/20/2023,Central,1487,0.11,148.7,Maharashtra
OD161,Yadav,Beverages,Soft Drinks,Sholapur,05-11-2023,West,713,0.3,192.51,Maharashtra
OD162,Vinne,"Eggs, Meat & Fish",Fish,Baner,12/28/2022,East,737,0.2,280.06,Maharashtra
OD163,Amrish,Snacks,Chocolates,Pune Cantonment,11/16/2023,West,1004,0.26,341.36,Maharashtra
OD164,Hussain,Snacks,Cookies,Dhanori,11-07-2023,West,1516,0.32,121.28,Maharashtra
OD165,Haseena,Food Grains,Atta & Flour,Koregaon Park,09-08-2021,Central,1442,0.28,605.64,Maharashtra
OD166,Sudha,Beverages,Health Drinks,Mulshi,09-08-2021,Central,1690,0.33,422.5,Maharashtra
OD167,Adavan,Snacks,Chocolates,Hinjawadi,09-08-2021,Central,2021,0.13,343.57,Maharashtra
OD168,Aditi,"Eggs, Meat & Fish",Mutton,Sholapur,09-08-2021,Central,2340,0.25,491.4,Maharashtra
OD169,Krithika,Oil & Masala,Spices,Bibwewadi,09-08-2021,Central,705,0.15,176.25,Maharashtra
OD170,Sharon,"Eggs, Meat & Fish",Chicken,Pune Cantonment,09-08-2021,Central,1215,0.2,60.75,Maharashtra
OD171,Akash,Food Grains,Dals & Pulses,Pimpri-Chinchwad,09-08-2021,Central,552,0.25,237.36,Maharashtra
OD172,Sabeela,Beverages,Health Drinks,Viman Nagar,08-05-2021,West,1412,0.11,564.8,Maharashtra
OD173,Surya,Food Grains,Dals & Pulses,Viman Nagar,08-05-2021,West,791,0.32,150.29,Maharashtra
OD174,Alan,Fruits & Veggies,Organic Vegetables,Bibwewadi,08-05-2021,West,2476,0.33,420.92,Maharashtra
OD175,Aditi,Fruits & Veggies,Fresh Vegetables,Bavdhan,9/14/2021,Central,1747,0.27,471.69,Maharashtra
OD176,Shah,Fruits & Veggies,Organic Fruits,Mundhwa,9/14/2021,Central,1973,0.15,848.39,Maharashtra
OD177,Mathew,Oil & Masala,Spices,Pimpri-Chinchwad,4/21/2024,Central,2025,0.24,546.75,Maharashtra
OD178,Rumaiza,Snacks,Noodles,Pune,11/21/2022,East,1016,0.29,223.52,Maharashtra
OD179,Arvind,Fruits & Veggies,Organic Fruits,Pune Cantonment,11/21/2022,East,689,0.3,55.12,Maharashtra
OD180,Krithika,Food Grains,Atta & Flour,Bavdhan,12/15/2022,East,1322,0.16,343.72,Maharashtra
OD181,Arvind,Snacks,Cookies,Hinjawadi,12-05-2021,Central,1605,0.25,433.35,Maharashtra
OD182,Ravi,Beverages,Health Drinks,Camp,12-05-2021,Central,1718,0.2,171.8,Maharashtra
OD183,Jonas,Oil & Masala,Edible Oil & Ghee,Mulshi,11/19/2021,South,2177,0.35,783.72,Maharashtra
OD184,Surya,Food Grains,Organic Staples,Bhosari,11/19/2021,South,578,0.19,236.98,Maharashtra
OD185,Amrish,Food Grains,Dals & Pulses,Aundh,11/19/2021,South,782,0.28,195.5,Maharashtra
OD186,Shah,Snacks,Noodles,Wagholi,11/28/2023,East,1388,0.35,97.16,Maharashtra
OD187,Krithika,Bakery,Cakes,Bhosari,8/26/2021,West,2264,0.21,792.4,Maharashtra
OD188,Anu,Beverages,Soft Drinks,Mundhwa,7/16/2023,Central,813,0.16,138.21,Maharashtra
OD189,Yusuf,Fruits & Veggies,Organic Fruits,Mulshi,7/16/2023,Central,2021,0.24,564.2,Maharashtra
OD190,Rumaiza,Beverages,Soft Drinks,Pune,10-12-2022,East,1433,0.3,472.89,Maharashtra
OD191,Amrish,Fruits & Veggies,Organic Fruits,Wagholi,10-12-2022,East,2093,0.11,334.88,Maharashtra
OD192,Muneer,Fruits & Veggies,Fresh Vegetables,Wagholi,10-12-2022,East,2149,0.17,623.21,Maharashtra
OD193,Anu,Beverages,Health Drinks,Kothrud,10-12-2022,East,1972,0.32,414.12,Maharashtra
OD194,Suresh,Oil & Masala,Masalas,Kothrud,10-12-2022,East,2060,0.25,432.6,Maharashtra
OD195,Peer,"Eggs, Meat & Fish",Eggs,Viman Nagar,10/31/2022,West,1175,0.12,340.75,Maharashtra
OD196,Sundar,Oil & Masala,Edible Oil & Ghee,Dhanori,3/21/2021,East,1006,0.25,191.14,Maharashtra
OD197,Sudeep,Bakery,Breads & Buns,Bavdhan,3/21/2021,East,1409,0.16,380.43,Maharashtra
OD198,Verma,Food Grains,Organic Staples,Mundhwa,11-06-2024,East,914,0.34,338.18,Maharashtra
OD199,Surya,"Eggs, Meat & Fish",Mutton,Viman Nagar,07-06-2024,East,1352,0.3,527.28,Maharashtra
OD200,Sudha,"Eggs, Meat & Fish",Eggs,Pune Cantonment,07-06-2024,East,682,0.25,170.5,Maharashtra
OD201,James,Food Grains,Organic Staples,Viman Nagar,6/24/2024,East,1738,0.22,243.32,Maharashtra
OD202,Vidya,Bakery,Cakes,Narhe,08-03-2021,West,2421,0.25,484.2,Maharashtra
OD203,Jackson,Food Grains,Organic Staples,Koregaon Park,08-03-2021,West,2245,0.24,404.1,Maharashtra
OD204,Akash,Oil & Masala,Masalas,Pune,12/17/2024,Central,896,0.12,295.68,Maharashtra
OD205,Ram,Oil & Masala,Spices,Lonikand,06-03-2024,South,1033,0.3,185.94,Maharashtra
OD206,Vinne,"Eggs, Meat & Fish",Mutton,Mulshi,12-09-2024,West,1998,0.29,139.86,Maharashtra
OD207,Verma,"Eggs, Meat & Fish",Chicken,Hadapsar,12-01-2024,Central,1469,0.15,646.36,Maharashtra
OD208,Haseena,"Eggs, Meat & Fish",Eggs,Koregaon Park,12-01-2024,Central,1899,0.25,360.81,Maharashtra
OD209,Esther,"Eggs, Meat & Fish",Mutton,Mundhwa,12-01-2024,Central,2194,0.2,153.58,Maharashtra
OD210,Amrish,Beverages,Soft Drinks,Pune,12-01-2024,Central,1942,0.29,504.92,Maharashtra
OD211,Hafiz,Fruits & Veggies,Organic Vegetables,Baner,12-01-2024,Central,609,0.3,207.06,Maharashtra
OD212,Verma,"Eggs, Meat & Fish",Chicken,Pune Cantonment,02-09-2022,Central,2353,0.26,423.54,Maharashtra
OD213,Peer,Beverages,Soft Drinks,Narhe,01-02-2022,East,1591,0.15,270.47,Maharashtra
OD214,Arutra,Food Grains,Rice,Pimpri-Chinchwad,01-02-2022,East,1353,0.11,527.67,Maharashtra
OD215,Jonas,Beverages,Health Drinks,Camp,01-02-2022,East,1020,0.21,81.6,Maharashtra
OD216,Harish,Snacks,Noodles,Koregaon Park,01-02-2022,East,1362,0.31,177.06,Maharashtra
OD217,Sundar,Food Grains,Rice,Pimpri-Chinchwad,01-02-2022,East,1733,0.31,433.25,Maharashtra
OD218,Suresh,Oil & Masala,Masalas,Viman Nagar,10/28/2023,West,1949,0.17,97.45,Maharashtra
OD219,Sabeela,Fruits & Veggies,Organic Fruits,Lonikand,10/28/2023,West,2368,0.34,876.16,Maharashtra
OD220,Arvind,Fruits & Veggies,Fresh Vegetables,Mundhwa,12/24/2022,East,2110,0.25,485.3,Maharashtra
OD221,Ramesh,Food Grains,Dals & Pulses,Mulshi,12/24/2022,East,1940,0.2,795.4,Maharashtra
OD222,Willams,"Eggs, Meat & Fish",Fish,Pune,12/24/2022,East,1557,0.2,638.37,Maharashtra
OD223,Ramesh,"Eggs, Meat & Fish",Fish,Mulshi,12/24/2022,East,1443,0.19,274.17,Maharashtra
OD224,Yadav,Beverages,Soft Drinks,Hadapsar,12/24/2022,East,2024,0.11,910.8,Maharashtra
OD225,Krithika,"Eggs, Meat & Fish",Chicken,Bibwewadi,12/24/2022,East,2168,0.16,563.68,Maharashtra
OD226,Verma,"Eggs, Meat & Fish",Chicken,Viman Nagar,08-09-2022,Central,621,0.24,173.88,Maharashtra
OD227,Komal,Food Grains,Organic Staples,Mulshi,08-09-2022,Central,1230,0.17,295.2,Maharashtra
OD228,Harish,Snacks,Cookies,Narhe,08-09-2022,Central,560,0.34,240.8,Maharashtra
OD229,Sudha,Oil & Masala,Edible Oil & Ghee,Pune University,2/28/2022,South,1286,0.22,282.92,Maharashtra
OD230,Ramesh,Beverages,Health Drinks,Pune University,2/28/2022,South,1242,0.34,149.04,Maharashtra
OD231,Arvind,Bakery,Breads & Buns,Pimpri-Chinchwad,9/13/2021,South,717,0.21,43.02,Maharashtra
OD232,Komal,Beverages,Soft Drinks,Camp,04-07-2024,South,1480,0.22,444,Maharashtra
OD233,Komal,Food Grains,Dals & Pulses,Narhe,04-07-2024,South,826,0.18,247.8,Maharashtra
OD234,Ramesh,Snacks,Cookies,Sholapur,04-07-2024,South,1846,0.22,276.9,Maharashtra
OD235,Mathew,Beverages,Soft Drinks,Bibwewadi,04-07-2024,South,2045,0.12,552.15,Maharashtra
OD236,Vince,Fruits & Veggies,Organic Fruits,Dehu Road,04-07-2024,South,1983,0.17,773.37,Maharashtra
OD237,Shah,Bakery,Cakes,Hinjawadi,11-12-2024,West,650,0.16,247,Maharashtra
OD238,Ravi,Bakery,Breads & Buns,Koregaon Park,06-04-2023,Central,2163,0.31,216.3,Maharashtra
OD239,Adavan,Fruits & Veggies,Organic Vegetables,Hinjawadi,06-04-2023,Central,1481,0.15,518.35,Maharashtra
OD240,Arvind,Snacks,Cookies,Pune Cantonment,06-04-2023,Central,2492,0.14,124.6,Maharashtra
OD241,Ramesh,Bakery,Cakes,Dehu Road,06-04-2023,Central,962,0.33,423.28,Maharashtra
OD242,Malik,Beverages,Health Drinks,Rajgurunagar,06-04-2023,Central,1432,0.3,214.8,Maharashtra
OD243,Muneer,Oil & Masala,Edible Oil & Ghee,Lonikand,06-04-2023,Central,523,0.12,78.45,Maharashtra
